"Ward","TicketCount","StickerCount","DupCount","ExpCount","pop"
1,1681098,134185,34950,8359,56149
2,2073177,90158,59508,9236,55805
3,1067955,132444,27406,8441,53039
4,1697088,141664,53581,10591,54589
5,1060407,110563,26936,7451,51455
6,819829,137667,20031,7989,52341
7,572897,111350,13758,5260,51581
8,633430,109319,13767,5730,51687
9,350519,73599,6266,2535,51519
10,374887,72463,5983,1707,51535
11,689510,72101,13028,3163,51497
12,813220,94295,15527,2825,52235
13,313214,58896,3785,1167,53722
14,650384,91667,11456,1917,54031
15,765810,113381,16181,3223,51501
16,800252,151717,21401,7135,51954
17,694453,129208,17975,6322,51846
18,253689,58125,3890,1420,52992
19,219857,43976,3056,1070,51525
20,783392,151199,21513,8081,52372
21,522664,114154,10895,5125,51632
22,875710,117414,13510,2574,53515
23,579191,66892,9906,2272,53728
24,850291,147095,19992,5948,54909
25,1698023,119672,35575,6675,54539
26,1014203,118589,20734,4742,53516
27,1971543,174242,58936,9905,52939
28,1329896,174030,28180,7267,55199
29,725852,123580,14103,3978,55267
30,719854,83920,13117,2788,55560
31,807488,90534,12995,2553,53724
32,1068573,108911,23050,5726,55184
33,1035241,101083,20834,3864,55598
34,412952,113084,8114,3518,51599
35,1132677,104625,22219,3970,55281
36,463889,63543,7693,1506,54766
37,734240,146917,15532,5010,51538
38,336495,54821,4850,1185,56001
39,488236,58551,7613,1665,55882
40,993668,106345,17637,4153,55319
41,559192,38794,6942,2373,56012
42,4938416,127680,161334,16072,55870
43,2036340,95318,45484,8916,56170
44,2429213,115684,67253,10867,56058
45,502636,66755,7203,1563,55967
46,1212371,104777,29791,6233,53784
47,1215272,108766,20304,4832,55074
48,999289,83863,27697,5386,55909
49,1121923,92920,25030,4535,55895
50,808372,63138,15018,2419,55809
